model_name,model_weights,model_path
densenet121,densenet121_0,dir_densenet121/SGD_Circular_Scratch/densenet121_31epochs_0.9619.weights
densenet121,densenet121_1,dir_densenet121/SGD_Circular_Scratch/densenet121_35epochs_0.9599.weights
densenet121,densenet121_2,dir_densenet121/SGD_Circular_Scratch/densenet121_35epochs_0.9613.weights
densenet121,densenet121_3,dir_densenet121/SGD_Circular_Scratch/densenet121_31epochs_0.9614.weights
densenet121,densenet121_4,dir_densenet121/SGD_Circular_Scratch/densenet121_23epochs_0.9597.weights
densenet121,densenet121_5,dir_densenet121/SGD_Circular_Scratch/densenet121_31epochs_0.9594.weights
densenet121,densenet121_6,dir_densenet121/SGD_Circular_Scratch/densenet121_31epochs_0.9608.weights
densenet121,densenet121_7,dir_densenet121/SGD_Circular_Scratch/densenet121_31epochs_0.9607.weights
densenet121,densenet121_8,dir_densenet121/SGD_Circular_Scratch/densenet121_19epochs_0.9608.weights
densenet121,densenet121_9,dir_densenet121/SGD_Circular_Scratch/densenet121_27epochs_0.9607.weights
densenet121,densenet121_10,dir_densenet121/SGD_Circular_Scratch/densenet121_19epochs_0.9601.weights
densenet121,densenet121_11,dir_densenet121/SGD_Circular_Scratch/densenet121_39epochs_0.9612.weights
