model_name,model_weights,model_path
squeezenet1_0,squeezenet1_0,dir_squeezenet1_0/squeezenet1_0_30epochs_0.9385.weights
squeezenet1_0,squeezenet1_1,dir_squeezenet1_0/squeezenet1_0_39epochs_0.9467.weights
squeezenet1_0,squeezenet1_2,dir_squeezenet1_0/squeezenet1_0_38epochs_0.9442.weights
squeezenet1_0,squeezenet1_3,dir_squeezenet1_0/squeezenet1_0_37epochs_0.9375.weights
squeezenet1_0,squeezenet1_4,dir_squeezenet1_0/squeezenet1_0_38epochs_0.9458.weights
squeezenet1_0,squeezenet1_5,dir_squeezenet1_0/squeezenet1_0_39epochs_0.9424.weights
squeezenet1_0,squeezenet1_6,dir_squeezenet1_0/squeezenet1_0_37epochs_0.9445.weights
squeezenet1_0,squeezenet1_7,dir_squeezenet1_0/squeezenet1_0_37epochs_0.9437.weights
squeezenet1_0,squeezenet1_8,dir_squeezenet1_0/squeezenet1_0_29epochs_0.9415.weights
squeezenet1_0,squeezenet1_9,dir_squeezenet1_0/squeezenet1_0_39epochs_0.9561.weights
squeezenet1_0,squeezenet1_10,dir_squeezenet1_0/squeezenet1_0_36epochs_0.9472.weights
squeezenet1_0,squeezenet1_11,dir_squeezenet1_0/squeezenet1_0_39epochs_0.9454.weights
